,,,,,,Total Rank,Upper,,,Lower,,,UP+LO,,Static,,,Couple,,,LRO-T OA,,,LRO-B OA,,,RRO1 OA,,,RRO2 OA,,,RRO3 OA,,,LRO-T 1st,,,LRO-B 1st,,,RRO1 1st,,,RRO2 1st,,,RRO3 1st,,,LRO-T 2nd,,,LRO-B 2nd,,,RRO1 2nd,,,RRO2 2nd,,,RRO3 2nd,,,LRO-T Nth,,,LRO-B Nth,,,RRO1 Nth,,,RRO2 Nth,,,RRO3 Nth,,,LRO-T Bulge,,,LRO-B Bulge,,,LRO-T Dent,,,LRO-B Dent,,,Circuly,,OuterDiameter1,,OuterDiameter2,,OuterDiameter3,,RO TOTAL,Meas.Pressure,Weight,,Width,
362503,2023/10/25,04:16:41,101,175/65R14           ,49403358,A,21.891,308.1,A,27.91,332.4,A,49.801,A,48.703,321.7,A,12.017,200.9,A,0.456,225.7,A,0.387,267.5,A,0,0,A,0.755,339.3,A,0,0,A,0.156,248.1,A,0.136,215,A,0,0,A,0.429,338.8,A,0,0,A,0.118,99.8,A,0.078,210.9,A,0,0,A,0.055,314.9,A,0,0,A,0.065,99.8,A,0.053,210.9,A,0,0,A,0.054,314.1,A,0,0,A,0.308,50.5,A,0.473,345.8,A,0.258,255.8,A,0.316,338.1,A,0.2,A,0,A,596.952,A,0,A,A,0,0,OK,0,A
362504,2023/10/25,04:17:11,101,175/65R14           ,49403445,A,15.809,22.6,A,8.954,343.8,A,24.764,A,23.468,8.8,A,10.463,55.1,A,0.437,95.4,A,0.708,229.4,A,0,0,A,0.768,25.7,A,0,0,A,0.148,0,A,0.403,181.9,A,0,0,A,0.549,32.9,A,0,0,A,0.208,209.4,A,0.081,81.1,A,0,0,A,0.085,312.2,A,0,0,A,0.035,209.4,A,0.014,81.1,A,0,0,A,0.067,312.2,A,0,0,A,0.425,87.6,A,0.284,59.1,A,0.375,77.3,A,0.29,335.9,A,0.243,A,0,A,596.681,A,0,A,A,0,0,OK,0,A
362505,2023/10/25,04:18:03,101,175/65R14           ,49406126,A,22.2,324.6,A,24.565,298.7,A,46.765,A,45.574,311,A,10.748,54,A,0.423,301.1,A,2.895,329.4,E,0,0,A,0.368,245.4,A,0,0,A,0.14,250.7,A,0.562,196,A,0,0,A,0.042,213.5,A,0,0,A,0.208,187.6,A,0.531,175.8,A,0,0,A,0.112,247.1,A,0,0,A,0.012,187.6,A,0.353,175.8,A,0,0,A,0.068,247.1,A,0,0,A,0.332,236.4,A,2.419,355.5,E,0.387,245.6,A,2.365,356.4,E,0.212,A,0,A,596.626,A,0,A,E,0,0,OK,0,A
362506,2023/10/25,04:18:27,101,175/65R14           ,49406130,A,6.003,299.8,A,17.217,256.7,A,23.22,A,21.986,267.4,A,13.475,58.9,A,0.85,355.3,A,0.735,356.7,A,0,0,A,0.204,341.8,A,0,0,A,0.461,320.1,A,0.066,50.7,A,0,0,A,0.057,18,A,0,0,A,0.126,217.4,A,0.209,19.2,A,0,0,A,0.033,55.5,A,0,0,A,0.022,217.4,A,0.059,19.2,A,0,0,A,0.028,55.5,A,0,0,A,0.647,357.2,A,0.564,357.1,A,0.413,6.4,A,0.251,227.9,A,0.166,A,0,A,596.73,A,0,A,A,0,0,OK,0,A
362507,2023/10/25,04:18:58,101,175/65R14           ,49403328,A,16.977,69.7,A,15.614,15.5,A,32.591,A,29.029,43.8,A,14.879,127.9,A,0.451,232.2,A,0.435,205.2,A,0,0,A,0.427,70.5,A,0,0,A,0.175,177.1,A,0.17,219.7,A,0,0,A,0.296,3.1,A,0,0,A,0.207,101.4,A,0.103,13.4,A,0,0,A,0.006,59.9,A,0,0,A,0.025,101.4,A,0.011,13.4,A,0,0,A,0.05,141.1,A,0,0,A,0.617,356.9,A,0.473,357.7,A,0.407,350.9,A,0.321,352.7,A,0.144,A,0,A,596.862,A,0,A,A,0,0,OK,0,A
362508,2023/10/25,04:19:28,101,175/65R14           ,49403326,A,23.865,114.2,A,1.014,14.9,A,24.879,A,23.721,111.8,A,24.051,116.6,A,0.337,71.1,A,0.519,264.2,A,0,0,A,0.696,66,A,0,0,A,0.147,144.6,A,0.317,219.1,A,0,0,A,0.363,38.2,A,0,0,A,0.134,98.3,A,0.01,274,A,0,0,A,0.132,121.2,A,0,0,A,0.005,98.3,A,0.028,274,A,0,0,A,0.068,121.2,A,0,0,A,0.569,351,A,0.394,350.9,A,0.444,343.9,A,0.268,343.7,A,0.285,A,0,A,596.964,A,0,A,A,0,0,OK,0,A
362509,2023/10/25,04:20:22,101,175/65R14           ,49403444,A,25.941,347.1,A,8.504,292.5,A,34.445,A,31.631,334.5,A,22.136,5.4,A,0.631,64.2,A,0.737,242.1,A,0,0,A,0.914,351.6,A,0,0,A,0.134,68.2,A,0.505,230.2,A,0,0,A,0.769,6.4,A,0,0,A,0.23,124.6,A,0.099,306.6,A,0,0,A,0.078,222,A,0,0,A,0.035,124.6,A,0.015,306.6,A,0,0,A,0.072,222,A,0,0,A,0.513,12.9,A,0.459,359.8,A,0.492,10,A,0.458,72.4,A,0.324,A,0,A,597.254,A,0,A,A,0,0,OK,0,A
362510,2023/10/25,04:20:50,101,175/65R14           ,49406127,A,6.482,315.8,A,26.31,315.1,A,32.792,A,32.792,315.3,A,19.828,134.9,A,0.443,112.8,A,0.724,357.2,A,0,0,A,0.329,109.7,A,0,0,A,0.069,167.9,A,0.388,325.7,A,0,0,A,0.098,53.8,A,0,0,A,0.184,281.3,A,0.123,328.8,A,0,0,A,0.079,208,A,0,0,A,0.045,281.3,A,0.019,328.8,A,0,0,A,0.048,208,A,0,0,A,0.413,356,A,0.447,354.6,A,0.319,347.1,A,0.277,35.7,A,0.241,A,0,A,596.588,A,0,A,A,0,0,OK,0,A
362511,2023/10/25,04:21:17,101,175/65R14           ,49403375,A,9.846,44.8,A,5.679,170.7,A,15.525,A,7.98,80,A,13.954,25.6,A,0.426,279.4,A,0.464,140.7,A,0,0,A,1,25.5,A,0,0,A,0.177,215.5,A,0.2,175.1,A,0,0,A,0.634,27.9,A,0,0,A,0.116,130.9,A,0.067,290.7,A,0,0,A,0.148,124.5,A,0,0,A,0.045,130.9,A,0.018,290.7,A,0,0,A,0.142,122.3,A,0,0,A,0.633,357.2,A,0.533,357.3,A,0.354,200.7,A,0.284,350.4,A,0.419,A,0,A,596.838,A,0,A,A,0,0,OK,0,A
362512,2023/10/25,04:21:48,101,175/65R14           ,49403379,A,6.97,55.6,A,27.592,353.4,A,34.562,A,31.451,4.7,A,25.111,159.2,A,0.626,221.9,A,0.347,28.6,A,0,0,A,0.725,57.1,A,0,0,A,0.357,203.6,A,0.141,48.5,A,0,0,A,0.436,37.2,A,0,0,A,0.166,133.3,A,0.12,351,A,0,0,A,0.194,110.7,A,0,0,A,0.089,133.3,A,0.058,351,A,0,0,A,0.068,111.2,A,0,0,A,0.627,353.8,A,0.487,355.6,A,0.413,0,A,0.331,346.6,A,0.339,A,0,A,596.921,A,0,A,A,0,0,OK,0,A
362513,2023/10/25,04:22:15,101,175/65R14           ,49403330,A,21.892,54.2,A,14.687,84.6,A,36.578,A,35.348,66.3,A,11.849,15.3,A,0.343,168.8,A,0.562,162,A,0,0,A,0.702,78.7,A,0,0,A,0.157,202.4,A,0.185,141.5,A,0,0,A,0.476,34,A,0,0,A,0.11,106.8,A,0.168,1.9,A,0,0,A,0.117,196.5,A,0,0,A,0.024,106.8,A,0.027,1.9,A,0,0,A,0.059,196.5,A,0,0,A,0.61,356,A,0.479,356.6,A,0.488,135.6,A,0.263,265.6,A,0.272,A,0,A,596.968,A,0,A,A,0,0,OK,0,A
362514,2023/10/25,04:22:45,101,175/65R14           ,49403334,A,3.993,135.6,A,7.584,236.3,A,11.577,A,7.888,206.4,A,9.203,81.5,A,0.408,29.4,A,0.638,138.3,A,0,0,A,0.653,76.9,A,0,0,A,0.227,38,A,0.43,179.2,A,0,0,A,0.376,21.3,A,0,0,A,0.043,43.8,A,0.164,247.1,A,0,0,A,0.106,136.9,A,0,0,A,0.017,43.8,A,0.004,247.1,A,0,0,A,0.046,136.9,A,0,0,A,0.429,355.2,A,0.443,353.2,A,0.378,196,A,0.318,174.5,A,0.241,A,0,A,596.962,A,0,A,A,0,0,OK,0,A
362515,2023/10/25,04:23:14,101,175/65R14           ,49403327,A,17.065,247.2,A,19.817,306.4,A,36.882,A,32.106,279.2,A,18.359,179.3,A,0.445,244.1,A,0.688,356,A,0,0,A,0.758,341.8,A,0,0,A,0.143,227.8,A,0.198,25.8,A,0,0,A,0.428,24,A,0,0,A,0.238,161.9,A,0.111,1,A,0,0,A,0.029,25.6,A,0,0,A,0.016,161.9,A,0.018,1,A,0,0,A,0.089,25.7,A,0,0,A,0.486,353.7,A,0.444,355.2,A,0.632,7.6,A,0.174,161.1,A,0.208,A,0,A,596.889,A,0,A,A,0,0,OK,0,A
362516,2023/10/25,04:23:44,101,175/65R14           ,49403365,A,19.948,93.2,A,7.418,345.5,A,27.366,A,19.061,71.4,A,23.293,110.8,A,0.576,263.7,A,0.627,155.7,A,0,0,A,0.939,78.3,A,0,0,A,0.438,244.3,A,0.38,132.9,A,0,0,A,0.641,44,A,0,0,A,0.16,166.7,A,0.031,103.3,A,0,0,A,0.071,162.5,A,0,0,A,0.034,166.7,A,0.011,103.3,A,0,0,A,0.033,162.5,A,0,0,A,0.598,359.3,A,0.429,359.2,A,0.449,4.6,A,0.251,4.6,A,0.303,A,0,A,596.935,A,0,A,A,0,0,OK,0,A
362517,2023/10/25,04:24:17,101,175/65R14           ,49403369,A,8.905,63.2,A,11.991,58.8,A,20.896,A,20.881,60.6,A,3.186,226.4,A,0.273,67.4,A,0.41,352.7,A,0,0,A,0.761,23.2,A,0,0,A,0.06,290.1,A,0.015,160.1,A,0,0,A,0.592,9.8,A,0,0,A,0.12,126,A,0.151,25.5,A,0,0,A,0.068,9.2,A,0,0,A,0.048,126,A,0.032,25.5,A,0,0,A,0.045,9.2,A,0,0,A,0.444,28.6,A,0.252,279.2,A,0.406,96.2,A,0.231,190,A,0.236,A,0,A,597.096,A,0,A,A,0,0,OK,0,A
362518,2023/10/25,04:24:56,101,175/65R14           ,49403390,A,7.296,356.6,A,26.131,284.5,A,33.426,A,29.214,298.3,A,24.872,88.3,A,0.463,57.7,A,0.642,170.3,A,0,0,A,0.734,338.8,A,0,0,A,0.087,257.3,A,0.438,176,A,0,0,A,0.526,8,A,0,0,A,0.249,97.2,A,0.045,250,A,0,0,A,0.164,8.4,A,0,0,A,0.055,97.2,A,0.052,250,A,0,0,A,0.02,8.4,A,0,0,A,0.568,353.1,A,0.44,353.1,A,0.307,68,A,0.446,67.8,A,0.263,A,0,A,597.144,A,0,A,A,0,0,OK,0,A
362519,2023/10/25,04:25:26,101,175/65R14           ,49403377,A,11.224,2.1,A,14.352,304.4,A,25.576,A,22.46,329.4,A,12.629,75.8,A,0.996,78.5,A,0.577,157.9,A,0,0,A,0.599,76.6,A,0,0,A,0.098,201.6,A,0.385,200.3,A,0,0,A,0.389,23.9,A,0,0,A,0.146,272.8,A,0.101,301,A,0,0,A,0.113,140.4,A,0,0,A,0.141,272.8,A,0.033,301,A,0,0,A,0.051,140.4,A,0,0,A,0.668,359.5,A,0.564,359.6,A,1.127,58.6,A,0.432,352.4,A,0.231,A,0,A,596.824,A,0,A,A,0,0,OK,0,A
362520,2023/10/25,04:25:55,101,175/65R14           ,49403331,A,13.565,54.6,A,17.714,18.8,A,31.279,A,29.792,34.2,A,10.394,149,A,0.664,234.1,A,0.311,344.7,A,0,0,A,0.651,27.8,A,0,0,A,0.487,202.2,A,0.041,359,A,0,0,A,0.458,36.5,A,0,0,A,0.129,111.9,A,0.098,289.3,A,0,0,A,0.081,10.1,A,0,0,A,0.04,111.9,A,0.022,289.3,A,0,0,A,0.068,9.6,A,0,0,A,0.65,359.4,A,0.371,359.4,A,0.484,7.2,A,0.236,139.7,A,0.204,A,0,A,596.623,A,0,A,A,0,0,OK,0,A
362521,2023/10/25,04:26:25,101,175/65R14           ,49403388,A,22.292,85.6,A,15.967,54.3,A,38.259,A,36.883,72.6,A,11.976,129.4,A,0.421,274.3,A,0.423,215.3,A,0,0,A,0.739,62.5,A,0,0,A,0.199,265.7,A,0.266,198.4,A,0,0,A,0.523,40.3,A,0,0,A,0.25,186.9,A,0.027,72.5,A,0,0,A,0.052,277.5,A,0,0,A,0.029,186.9,A,0.008,72.5,A,0,0,A,0.078,279.8,A,0,0,A,0.497,355.6,A,0.334,267.3,A,0.261,349.4,A,0.17,232.6,A,0.238,A,0,A,596.844,A,0,A,A,0,0,OK,0,A
362522,2023/10/25,04:26:59,101,175/65R14           ,49403450,A,19.889,41,A,7.826,79.9,A,27.715,A,26.442,51.8,A,14.646,21.4,A,0.747,65.7,A,0.735,225.4,A,0,0,A,0.535,343.9,A,0,0,A,0.255,123,A,0.455,223.8,A,0,0,A,0.334,23.5,A,0,0,A,0.251,128.2,A,0.03,4.6,A,0,0,A,0.07,288.9,A,0,0,A,0.065,128.2,A,0.035,4.6,A,0,0,A,0.072,288.9,A,0,0,A,0.425,39.4,A,0.524,359.7,A,0.184,10.8,A,0.296,9.1,A,0.22,A,0,A,596.876,A,0,A,A,0,0,OK,0,A
362523,2023/10/25,04:27:30,101,175/65R14           ,49406484,A,7.401,35.2,A,20.05,17.9,A,27.451,A,27.206,22.6,A,13.166,188.3,A,0.484,71.6,A,0.481,6,A,0,0,A,0.589,306.8,A,0,0,A,0.156,160.3,A,0.061,15.1,A,0,0,A,0.368,348.7,A,0,0,A,0.126,175.2,A,0.039,18.5,A,0,0,A,0.046,149.4,A,0,0,A,0.039,175.2,A,0.008,18.5,A,0,0,A,0.076,149.4,A,0,0,A,0.306,321.3,A,0.527,357.5,A,0.255,217.7,A,0.262,5.8,A,0.274,A,0,A,597.035,A,0,A,A,0,0,OK,0,A
362524,2023/10/25,04:28:05,101,175/65R14           ,49403373,A,23.169,49,A,19.442,77.2,A,42.611,A,41.336,61.8,A,10.998,352.3,A,0.314,274.9,A,0.434,146.3,A,0,0,A,0.929,22.4,A,0,0,A,0.156,228.6,A,0.092,153.1,A,0,0,A,0.621,28.3,A,0,0,A,0.008,171.7,A,0.069,306.3,A,0,0,A,0.012,147,A,0,0,A,0.013,171.7,A,0.035,306.3,A,0,0,A,0.116,143.8,A,0,0,A,0.607,357.3,A,0.522,357.6,A,0.415,4.9,A,0.383,2.8,A,0.323,A,0,A,596.655,A,0,A,A,0,0,OK,0,A
362525,2023/10/25,04:28:35,101,175/65R14           ,49406485,A,6.954,74.6,A,4.058,63.9,A,11.012,A,10.967,70.7,A,3.06,88.9,A,0.477,239.1,A,0.314,144.3,A,0,0,A,0.848,74.3,A,0,0,A,0.17,252.9,A,0.08,170.9,A,0,0,A,0.55,32.1,A,0,0,A,0.209,125.3,A,0.07,15,A,0,0,A,0.045,132.6,A,0,0,A,0.031,125.3,A,0.042,15,A,0,0,A,0.121,136.5,A,0,0,A,0.523,359.8,A,0.314,359.6,A,0.298,8.5,A,0.283,353.8,A,0.314,A,0,A,597.123,A,0,A,A,0,0,OK,0,A
362526,2023/10/25,04:29:03,101,175/65R14           ,49403383,A,14.789,0.1,A,4.26,153.9,A,19.048,A,11.128,9.8,A,18.705,354.3,A,0.351,177.1,A,0.593,146.3,A,0,0,A,0.751,71.9,A,0,0,A,0.256,246.6,A,0.305,154.5,A,0,0,A,0.401,27.1,A,0,0,A,0.066,347.7,A,0.018,93.6,A,0,0,A,0.195,127.9,A,0,0,A,0.017,347.7,A,0.081,93.6,A,0,0,A,0.09,127.9,A,0,0,A,0.492,359.1,A,0.344,359.5,A,0.384,6.1,A,0.289,114.4,A,0.35,A,0,A,597.113,A,0,A,A,0,0,OK,0,A
362527,2023/10/25,04:29:32,101,175/65R14           ,49403449,A,7.895,335.6,A,12.033,305.7,A,19.928,A,19.284,317.5,A,6.512,88.6,A,0.439,295.3,A,0.529,163.5,A,0,0,A,0.533,10.8,A,0,0,A,0.189,255.1,A,0.281,194.5,A,0,0,A,0.314,6.3,A,0,0,A,0.098,182.4,A,0.124,357.4,A,0,0,A,0.128,138.9,A,0,0,A,0.017,182.4,A,0.027,357.4,A,0,0,A,0.019,137.3,A,0,0,A,0.32,1.5,A,0.446,1.1,A,0.249,214.9,A,0.233,34.6,A,0.16,A,0,A,596.967,A,0,A,A,0,0,OK,0,A
362528,2023/10/25,04:30:02,101,175/65R14           ,49403452,A,13.958,104.3,A,12.47,41,A,26.428,A,22.509,74.6,A,13.929,157.4,A,0.672,70.2,A,0.579,170.5,A,0,0,A,0.615,359.1,A,0,0,A,0.282,158,A,0.361,205,A,0,0,A,0.433,2.1,A,0,0,A,0.307,130.4,A,0.116,306.8,A,0,0,A,0.04,26.4,A,0,0,A,0.055,130.4,A,0.023,306.8,A,0,0,A,0.061,26.4,A,0,0,A,0.325,296.2,A,0.471,358.9,A,0.282,219.6,A,0.246,268.9,A,0.231,A,0,A,596.881,A,0,A,A,0,0,OK,0,A
362529,2023/10/25,04:30:38,101,175/65R14           ,49403391,A,10.422,319.4,A,24.697,339.5,A,35.119,A,34.666,333.6,A,15.341,173.1,A,0.392,274.9,A,0.599,205.8,A,0,0,A,1.017,338.1,A,0,0,A,0.13,251.5,A,0.187,241.1,A,0,0,A,0.659,7.5,A,0,0,A,0.107,151.9,A,0.104,17.4,A,0,0,A,0.261,207.9,A,0,0,A,0.043,151.9,A,0.067,17.4,A,0,0,A,0.078,207.9,A,0,0,A,0.563,358,A,0.453,357.8,A,0.57,22.9,A,0.712,170.1,A,0.393,A,0,A,597.129,A,0,A,A,0,0,OK,0,A
362530,2023/10/25,04:31:08,101,175/65R14           ,49403385,A,18.237,120.4,A,18.389,217.3,A,36.626,A,24.286,169.1,A,27.416,78.7,A,0.622,242.4,A,0.977,241.4,A,0,0,A,0.879,72,A,0,0,A,0.314,174.2,A,0.698,189.6,A,0,0,A,0.59,43.2,A,0,0,A,0.314,174.5,A,0.185,134,A,0,0,A,0.084,77.9,A,0,0,A,0.039,174.5,A,0.04,134,A,0,0,A,0.098,77.3,A,0,0,A,0.586,354.6,A,0.294,80.4,A,0.258,207.5,A,0.234,68.8,A,0.257,A,0,A,596.935,A,0,A,A,0,0,OK,0,A
362531,2023/10/25,04:31:37,101,175/65R14           ,49403362,A,10.192,22.4,A,16.666,54.7,A,26.858,A,25.861,42.5,A,9.721,268.8,A,0.514,102.4,A,0.572,226.8,A,0,0,A,0.54,75.8,A,0,0,A,0.241,144.5,A,0.347,174.7,A,0,0,A,0.328,18.2,A,0,0,A,0.215,148.6,A,0.229,33.1,A,0,0,A,0.126,153.9,A,0,0,A,0.044,148.6,A,0.065,33.1,A,0,0,A,0.048,154,A,0,0,A,0.349,1.1,A,0.457,0.6,A,0.256,41.7,A,0.184,43.1,A,0.231,A,0,A,596.919,A,0,A,A,0,0,OK,0,A
362532,2023/10/25,04:32:05,101,175/65R14           ,49406129,A,15.607,312,A,36.772,253.4,A,52.379,A,46.828,269.9,A,31.602,48.4,A,0.877,80.3,A,0.919,244.4,A,0,0,A,0.479,229.8,A,0,0,A,0.683,51.4,A,0.617,256.7,A,0,0,A,0.195,104.2,A,0,0,A,0.061,162.6,A,0.23,337.1,A,0,0,A,0.065,153.5,A,0,0,A,0.015,162.6,A,0.057,337.1,A,0,0,A,0.015,154.9,A,0,0,A,0.546,354.2,A,0.504,354.6,A,0.431,113.2,A,0.341,228.2,A,0.206,A,0,A,596.723,A,0,A,A,0,0,OK,0,A
362533,2023/10/25,04:32:55,101,175/65R14           ,49403382,A,9.263,343.9,A,17.577,344.7,A,26.84,A,26.84,344.4,A,8.316,165.5,A,0.707,85.3,A,0.401,197.1,A,0,0,A,0.927,8.1,A,0,0,A,0.312,149.5,A,0.174,256.6,A,0,0,A,0.65,3.1,A,0,0,A,0.277,154.8,A,0.107,344.4,A,0,0,A,0.127,141,A,0,0,A,0.072,154.8,A,0.038,344.4,A,0,0,A,0.068,139,A,0,0,A,0.698,357.9,A,0.544,358,A,0.506,5.6,A,0.427,4.9,A,0.332,A,0,A,596.902,A,0,A,A,0,0,OK,0,A
362534,2023/10/25,04:33:24,101,175/65R14           ,49403448,A,24.067,60.6,A,12.1,67.8,A,36.167,A,36.102,63,A,12.162,53.3,A,0.686,182.5,A,0.321,356.4,A,0,0,A,0.987,54.7,A,0,0,A,0.468,175.8,A,0.069,265.4,A,0,0,A,0.54,12.3,A,0,0,A,0.206,153,A,0.062,346,A,0,0,A,0.238,110,A,0,0,A,0.072,153,A,0.025,346,A,0,0,A,0.088,109.2,A,0,0,A,0.685,359.2,A,0.414,359.8,A,0.414,5.3,A,0.205,17.6,A,0.411,A,0,A,596.684,A,0,A,A,0,0,OK,0,A
362535,2023/10/25,04:33:57,101,175/65R14           ,49403677,A,16.796,357.4,A,5.517,277.1,A,22.312,A,18.544,340.3,A,16.768,16.3,A,0.418,310,A,0.621,165.1,A,0,0,A,0.846,64.3,A,0,0,A,0.17,325.5,A,0.259,190.4,A,0,0,A,0.597,15.2,A,0,0,A,0.066,132.9,A,0.225,7.7,A,0,0,A,0.229,184.8,A,0,0,A,0.031,132.9,A,0.01,7.7,A,0,0,A,0.045,184.8,A,0,0,A,0.432,218.2,A,0.502,311,A,0.319,228.6,A,0.418,309.2,A,0.335,A,0,A,596.65,A,0,A,A,0,0,OK,0,A
362536,2023/10/25,04:34:26,101,175/65R14           ,49403679,A,16.347,28.7,A,12.762,299.9,A,29.109,A,20.95,351.1,A,20.525,67.1,A,0.303,278.3,A,0.442,204.8,A,0,0,A,0.63,342.9,A,0,0,A,0.158,277,A,0.272,177.5,A,0,0,A,0.421,35.3,A,0,0,A,0.105,185.4,A,0.072,49.9,A,0,0,A,0.104,321.7,A,0,0,A,0.027,185.4,A,0.029,49.9,A,0,0,A,0.003,321.7,A,0,0,A,0.284,77,A,0.19,257,A,0.243,232.9,A,0.261,72,A,0.216,A,0,A,596.68,A,0,A,A,0,0,OK,0,A
362537,2023/10/25,04:34:56,101,175/65R14           ,49403681,A,14.508,241.2,A,8.469,254.6,A,22.977,A,22.83,246.1,A,6.574,223.7,A,0.671,248.6,A,0.343,118.9,A,0,0,A,0.964,54.4,A,0,0,A,0.286,237.7,A,0.159,155.1,A,0,0,A,0.681,30.7,A,0,0,A,0.142,147,A,0.039,20.6,A,0,0,A,0.205,286.1,A,0,0,A,0.082,147,A,0.022,20.6,A,0,0,A,0.063,286.3,A,0,0,A,0.496,353.1,A,0.254,281.7,A,0.391,98.6,A,0.242,28.7,A,0.332,A,0,A,596.701,A,0,A,A,0,0,OK,0,A
362538,2023/10/25,04:35:24,101,175/65R14           ,49403353,A,5.203,100.4,A,8.795,157.5,A,13.998,A,12.417,136.9,A,7.394,13.7,A,0.703,242.8,A,0.544,154.7,A,0,0,A,0.744,22.7,A,0,0,A,0.441,213.8,A,0.207,146.3,A,0,0,A,0.478,23.3,A,0,0,A,0.145,139.4,A,0.23,330.6,A,0,0,A,0.068,78.6,A,0,0,A,0.017,139.4,A,0.041,330.6,A,0,0,A,0.094,78.5,A,0,0,A,0.598,357.6,A,0.494,357.9,A,0.467,51.8,A,0.32,7.1,A,0.28,A,0,A,596.885,A,0,A,A,0,0,OK,0,A
362539,2023/10/25,04:35:56,101,175/65R14           ,49403454,A,5.141,128.7,A,14.568,262.3,A,19.709,A,11.638,243.6,A,18.489,93.9,A,0.34,80.6,A,0.77,154.7,A,0,0,A,0.464,340.9,A,0,0,A,0.103,270.6,A,0.511,166.1,A,0,0,A,0.299,24.7,A,0,0,A,0.153,189.8,A,0.023,326.9,A,0,0,A,0.089,40.3,A,0,0,A,0.025,189.8,A,0.013,326.9,A,0,0,A,0.083,40.3,A,0,0,A,0.606,357.1,A,0.521,357.6,A,0.368,350.2,A,0.401,350.2,A,0.257,A,0,A,597.032,A,0,A,A,0,0,OK,0,A
362540,2023/10/25,04:36:29,101,175/65R14           ,49403455,A,15.082,30.6,A,15.093,22.6,A,30.175,A,30.102,26.6,A,2.101,116.9,A,0.541,246,A,0.516,119.1,A,0,0,A,0.821,341.3,A,0,0,A,0.349,176.7,A,0.284,154.3,A,0,0,A,0.547,356.1,A,0,0,A,0.206,141.7,A,0.054,68.2,A,0,0,A,0.109,343.6,A,0,0,A,0.019,141.7,A,0.029,68.2,A,0,0,A,0.053,343.6,A,0,0,A,0.297,62.5,A,0.51,359.9,A,0.385,46,A,0.226,42.9,A,0.273,A,0,A,597.113,A,0,A,A,0,0,OK,0,A
362541,2023/10/25,04:36:56,101,175/65R14           ,49403332,A,13.166,67.3,A,8.26,59.4,A,21.426,A,21.377,64.2,A,5.115,80.2,A,0.375,228.7,A,0.512,157.9,A,0,0,A,0.428,23.9,A,0,0,A,0.11,203.5,A,0.335,174.3,A,0,0,A,0.277,24.9,A,0,0,A,0.114,139,A,0.09,75.9,A,0,0,A,0.064,102.4,A,0,0,A,0.02,139,A,0.038,75.9,A,0,0,A,0.034,103.9,A,0,0,A,0.618,357.2,A,0.418,53.5,A,0.479,6.8,A,0.272,350.5,A,0.169,A,0,A,596.938,A,0,A,A,0,0,OK,0,A
362542,2023/10/25,04:37:25,101,175/65R14           ,49403928,A,33,354.3,A,22.858,47.8,A,55.858,A,50.09,15.8,A,26.72,310.9,A,0.665,243.4,A,0.624,101.5,A,0,0,A,0.981,54.6,A,0,0,A,0.399,249.8,A,0.406,82,A,0,0,A,0.683,36.3,A,0,0,A,0.158,92.1,A,0.124,292.7,A,0,0,A,0.113,12.8,A,0,0,A,0.019,92.1,A,0.023,292.7,A,0,0,A,0.061,10.8,A,0,0,A,0.694,359.5,A,0.657,359.3,A,0.559,8,A,0.469,8,A,0.267,A,0,A,596.663,A,0,A,A,0,0,OK,0,A
362543,2023/10/25,04:37:52,101,175/65R14           ,49403867,A,14.122,1.2,A,14.423,18.7,A,28.545,A,28.214,10,A,4.344,276,A,0.563,188.3,A,0.369,82.5,A,0,0,A,0.913,338.5,A,0,0,A,0.27,200.5,A,0.147,99.8,A,0,0,A,0.552,20.7,A,0,0,A,0.039,151.8,A,0.024,90.7,A,0,0,A,0.137,288.6,A,0,0,A,0.051,151.8,A,0.023,90.7,A,0,0,A,0.115,288.6,A,0,0,A,0.521,20,A,0.288,201.9,A,0.239,299.4,A,0.244,210.8,A,0.384,A,0,A,596.46,A,0,A,A,0,0,OK,0,A
362544,2023/10/25,04:38:22,101,175/65R14           ,49403796,A,25.193,65.1,A,8.576,0.5,A,33.768,A,29.899,50.1,A,22.858,84.9,A,0.692,78,A,0.615,219.8,A,0,0,A,0.744,341.8,A,0,0,A,0.316,118.2,A,0.309,221.9,A,0,0,A,0.441,11,A,0,0,A,0.176,109.9,A,0.046,26.2,A,0,0,A,0.137,309.6,A,0,0,A,0.029,109.9,A,0.038,26.2,A,0,0,A,0.03,312.8,A,0,0,A,0.432,75.3,A,0.288,45.2,A,0.389,78.8,A,0.305,320.4,A,0.285,A,0,A,596.742,A,0,A,A,0,0,OK,0,A
362545,2023/10/25,04:38:50,101,175/65R14           ,49403894,A,29.439,315.6,A,21.914,289.6,A,51.352,A,50.066,304.6,A,13.677,0.2,A,0.676,72.1,A,0.908,157.7,A,0,0,A,0.863,55.7,A,0,0,A,0.3,30.8,A,0.573,180.3,A,0,0,A,0.602,40.5,A,0,0,A,0.149,156.4,A,0.387,312.6,A,0,0,A,0.039,146,A,0,0,A,0.067,156.4,A,0.051,312.6,A,0,0,A,0.049,144,A,0,0,A,0.632,354.8,A,0.488,354.7,A,0.338,277.4,A,0.345,346.4,A,0.211,A,0,A,596.913,A,0,A,A,0,0,OK,0,A
